Brand,Product,Shade-Code,Hue,Saturation,Lightness
Fenty,PRO FILT'R,fde9de,21,0.12,94
Fenty,PRO FILT'R,fde7da,22,0.14,93
Fenty,PRO FILT'R,fde3cc,28,0.19,92
Fenty,PRO FILT'R,f2d3b1,31,0.27,87
Fenty,PRO FILT'R,fce1c6,30,0.21,91
Fenty,PRO FILT'R,efd1b7,28,0.23,86
Fenty,PRO FILT'R,f4cca8,28,0.31,85
Fenty,PRO FILT'R,e8bfa3,24,0.3,80
Fenty,PRO FILT'R,fad5b8,26,0.26,88
Fenty,PRO FILT'R,e9c39f,29,0.32,81
Fenty,PRO FILT'R,e8bc99,27,0.34,80
Fenty,PRO FILT'R,e2ad85,26,0.41,75
Fenty,PRO FILT'R,eeba93,26,0.38,80
Fenty,PRO FILT'R,dfad89,25,0.39,75
Fenty,PRO FILT'R,d9a57d,26,0.42,72
Fenty,PRO FILT'R,e4ac7c,28,0.46,75
Fenty,PRO FILT'R,dca77d,27,0.43,73
Fenty,PRO FILT'R,d59d6d,28,0.49,69
Fenty,PRO FILT'R,e7ae85,25,0.42,76
Fenty,PRO FILT'R,dcb17d,33,0.43,75
Fenty,PRO FILT'R,ca9262,28,0.51,65
Fenty,PRO FILT'R,d28f58,27,0.58,65
Fenty,PRO FILT'R,d39063,24,0.53,66
Fenty,PRO FILT'R,d39156,28,0.59,66
Fenty,PRO FILT'R,ac7752,25,0.52,55
Fenty,PRO FILT'R,b67849,26,0.6,56
Fenty,PRO FILT'R,bd7b45,27,0.63,58
Fenty,PRO FILT'R,c98256,23,0.57,61
Fenty,PRO FILT'R,ca875a,24,0.55,63
Fenty,PRO FILT'R,a86b3f,25,0.63,51
Fenty,PRO FILT'R,a65e23,27,0.79,48
Fenty,PRO FILT'R,9d5d2d,26,0.71,46
Fenty,PRO FILT'R,ab6939,25,0.67,51
Fenty,PRO FILT'R,894f29,24,0.7,40
Fenty,PRO FILT'R,9b5b35,22,0.66,46
Fenty,PRO FILT'R,824f30,23,0.63,39
Fenty,PRO FILT'R,7d452c,19,0.65,36
Fenty,PRO FILT'R,6d3b20,21,0.71,31
Fenty,PRO FILT'R,683a20,22,0.69,30
Fenty,PRO FILT'R,583218,24,0.73,25
MAC,Studio Fix,d8b593,30,0.32,76
MAC,Studio Fix,fbbe91,25,0.42,82
MAC,Studio Fix,d2ae88,31,0.35,74
MAC,Studio Fix,d0a87f,30,0.39,72
MAC,Studio Fix,d79051,28,0.62,66
MAC,Studio Fix,ffdbc2,25,0.24,90
MAC,Studio Fix,ffc9a9,22,0.34,85
MAC,Studio Fix,ffd7b4,28,0.29,89
MAC,Studio Fix,dfc7a8,34,0.25,82
MAC,Studio Fix,dabc96,34,0.31,78
MAC,Studio Fix,d9b88f,33,0.34,77
MAC,Studio Fix,d4b588,36,0.36,76
MAC,Studio Fix,d0ae84,33,0.37,73
MAC,Studio Fix,d3b18a,32,0.35,75
MAC,Studio Fix,d1ac7f,33,0.39,73
MAC,Studio Fix,d0a97b,32,0.41,72
MAC,Studio Fix,c9a177,31,0.41,69
MAC,Studio Fix,c5986d,29,0.45,66
MAC,Studio Fix,d5844b,25,0.65,63
MAC,Studio Fix,db864d,24,0.65,64
MAC,Studio Fix,b5855a,28,0.5,60
MAC,Studio Fix,b38456,30,0.52,59
MAC,Studio Fix,e5d1be,29,0.17,85
MAC,Studio Fix,e0c8ae,31,0.22,82
MAC,Studio Fix,e0c1a2,30,0.28,80
MAC,Studio Fix,dcbca2,27,0.26,79
MAC,Studio Fix,dbbc9f,29,0.27,78
MAC,Studio Fix,d9b28d,29,0.35,75
MAC,Studio Fix,d5b293,28,0.31,75
MAC,Studio Fix,d5ad89,28,0.36,74
MAC,Studio Fix,d1a88a,25,0.34,72
MAC,Studio Fix,cfa67d,30,0.4,71
MAC,Studio Fix,cba275,31,0.42,70
MAC,Studio Fix,c39368,28,0.47,65
MAC,Studio Fix,b28050,29,0.55,58
MAC,Studio Fix,b9855a,27,0.51,60
MAC,Studio Fix,b27949,27,0.59,56
MAC,Studio Fix,ae7a50,27,0.54,56
MAC,Studio Fix,a77246,27,0.58,53
MAC,Studio Fix,a0714d,26,0.52,52
MAC,Studio Fix,a9734e,24,0.54,54
MAC,Studio Fix,724a32,23,0.56,36
